site_id,site_name,latitude,longitude,altitude,area_classification
NB02,St. Andrews,45.0833,-67.0833,10.0,nan
NC08,Waccamaw State Park,34.2592,-78.4777,10.0,rural-remote
NC17,University Research Farm,36.0672,-79.7344,238.0,urban
NC26,Candor,35.2632,-79.8365,198.0,rural
NC42,Pettigrew State Park,35.7373,-76.5149,2.0,rural-remote
ND01,Lostwood National Wildlife Refuge,48.6419,-102.4021,691.0,rural-remote
NE15,Mead,41.1528,-96.4912,352.0,rural
NE25,Winnebago,42.248,-96.474,360.0,rural-remote
NE98,Santee,42.8292,-97.8541,443.0,rural-remote
NE99,North Platte Agricultural Experiment Station,41.0592,-100.7464,919.0,rural
NF09,Cormak,49.3214,-57.3931,172.0,rural-remote
NF19,Stephenville,48.5614,-58.5656,62.0,rural
NH00,Laconia,43.5,-71.5,181.0,rural
NH02,Hubbard Brook,43.9433,-71.7029,250.0,rural
NH05,New Castle,43.1667,-70.8667,10.0,urban-suburban
NJ30,New Brunswick,40.4728,-74.4226,21.0,urban
NM10,Caballo,33.0625,-107.2917,1280.0,rural
NM97,Valles Caldera National Preserve,35.8584,-106.5214,2657.0,rural-remote
NM98,Navajo Lake,36.8097,-107.6515,1972.0,rural-remote
NS01,Kejimkujik National Park,44.4328,-65.2056,155.0,rural-remote
NV02,Lesperance Ranch,41.5033,-117.4989,1388.0,rural-remote
NV98,Reno,39.5111,-119.7186,1340.0,urban
NV99,Gibb'S Ranch,41.5713,-115.2117,1849.0,rural-remote
NY06,Bronx,40.868,-73.8782,68.0,urban
NY20,Huntington Wildlife,43.9731,-74.2231,500.0,rural-remote
NY43,Rochester,43.1463,-77.5482,136.0,urban
NY68,Biscuit Brook,41.9936,-74.5031,634.0,rural-remote
NY96,Cedar Beach-Southold,41.0347,-72.3891,1.0,rural
NY99,West Point,41.3511,-74.0484,211.0,urban-suburban
OA02,Puerto A'Ngel,15.65,-96.4833,110.0,nan
OH02,Athens Super Site,39.3078,-82.1182,275.0,rural
OH16,Northeast Ohio Regional Sewer District (Neorsd),41.5032,-81.6586,50.0,nan
OH52,South Bass Island,41.6582,-82.827,177.0,rural
