site_id,site_name,latitude,longitude,altitude,state,region
A327,PALMEIRA DOS INDIOS,-9.42027777,-36.62027777,278.01,AL,NE
A328,SURUBIM,-7.84249999,-35.79027777,421.44,PE,NE
A329,CABROBO,-8.50388888,-39.31527777,342.74,PE,NE
A330,PAULISTANA,-8.13222221,-41.14305555,376.0,PI,NE
A331,SAO JOAO DO PIAUI,-8.36444444,-42.2525,231.0,PI,NE
A332,MORADA NOVA,-5.0911111,-38.36472222,93.0,CE,NE
A333,SAO GONCALO,-6.83583333,-38.31166666,237.04,PB,NE
A334,MONTEIRO,-7.89444444,-37.12472221,606.39,PB,NE
A335,PIRIPIRI,-4.2761111,-41.79444444,157.89,PI,NE
A336,ALVORADA DO GURGUEIA,-8.37638888,-43.85944444,225.0,PI,NE
A337,CARACOL,-9.28583333,-43.32444443,515.3,PI,NE
A339,JAGUARUANA,-4.83777777,-37.69972221,12.0,CE,NE
A340,APODI,-5.62666666,-37.815,131.41,RN,NE
A341,CARUARU,-8.35611111,-36.02833332,837.0,PE,NE
A342,CRATEUS,-5.18666666,-40.67222221,298.19,CE,NE
A343,PICOS,-7.0711111,-41.40416666,232.91,PI,NE
A344,CALCANHAR,-5.16,-35.48749999,9.82,RN,NE
A345,SAO RAIMUNDO NONATO,-9.03305554,-42.70111111,385.0,PI,NE
A346,URUCUI,-7.44138888,-44.34499999,398.83,PI,NE
A347,CAMPOS SALES,-7.07777777,-40.36277777,577.95,CE,NE
A348,CABACEIRAS,-7.48333333,-36.28638888,391.96,PB,NE
A349,IBIMIRIM,-8.50944444,-37.71166666,434.23,PE,NE
A350,SERRA TALHADA,-7.95416666,-38.29499999,499.02,PE,NE
A351,FLORESTA,-8.59888888,-38.58416666,327.42,PE,NE
A352,CAMARATUBA,-6.56194444,-35.13527777,135.51,PB,NE
A353,ARAPIRACA,-9.80444444,-36.61916666,236.84,AL,NE
A354,OEIRAS,-6.97416666,-42.14694444,154.03,PI,NE
A355,CORURIPE,-10.1286111,-36.28638888,82.39,AL,NE
A356,SAO LUIS DO QUITUNDE,-9.28749999,-35.56583333,13.69,AL,NE
A357,PALMARES,-8.66666666,-35.56805554,164.01,PE,NE
