site_id,site_name,latitude,longitude,altitude,area_classification
Barcelona,Barcelona,41.38925,2.11206,125.0,nan
Bareilly,Bareilly,28.38996,79.43696,169.0,nan
BariUniversity,Bari University,41.108327,16.883983,12.0,nan
Barnaul,Barnaul,53.341667,83.772222,202.0,nan
Barrow,Barrow,71.3122,-156.665,8.0,nan
Bayfordbury,Bayfordbury,51.77632,-0.09624,75.0,nan
Beijing,Beijing,39.97689,116.38137,92.0,nan
Beijing-CAMS,Beijing-Cams,39.93333,116.31667,106.0,nan
BeijingPKU,Beijing Pku,39.992,116.3102,53.0,nan
BeijingRADI,Beijing Radi,40.0048,116.3786,59.0,nan
Belsk,Belsk,51.836667,20.791667,190.0,nan
Belterra,Belterra,-2.648483,-54.95165,132.0,nan
BenSalem,Ben Salem,35.55055,9.914003,130.0,nan
BerlinFRIE,Berlin Frie,52.5075,13.398,128.0,nan
BerlinFUB,Berlin Fub,52.4575,13.310333,80.0,nan
Bermuda,Bermuda,32.37,-64.696111,10.0,nan
Bethlehem,Bethlehem,-28.248333,28.333333,1709.0,nan
Bhola,Bhola,22.226675,90.756415,7.0,nan
BidiBahn,Bidi Bahn,14.06,-2.45,291.0,nan
Bidur,Bidur,27.8955,85.140096,576.0,nan
BigMeadows,Big Meadows,38.521944,-78.436111,1082.0,nan
Biggs,Biggs,39.450001,-121.73333,29.0,nan
Billerica,Billerica,42.528347,-71.268619,82.0,nan
Birdsville,Birdsville,-25.89893,139.34596,46.5,nan
Birkenes,Birkenes,58.38845,8.25231,230.0,nan
BlackForestAMF,Black Forest Amf,48.54005,8.396867,511.0,nan
Blida,Blida,36.508333,2.880556,230.0,nan
BlythNOAH,Blyth Noah,55.146399,-1.420859,19.0,nan
Bolzano,Bolzano,46.4569,11.33,262.0,nan
Bonanza,Bonanza,-21.825556,19.590278,1382.0,nan
BonanzaCreek,Bonanza Creek,64.742805,-148.316269,353.0,nan
Bondoukoui,Bondoukoui,11.85,-3.75,349.0,nan
BordjBadjiMokhtar,Bordj Badji Mokhtar,21.38,0.92,420.0,nan
Boulder,Boulder,39.991466,-105.260832,1659.0,nan
BoydCountyMS,Boyd County Ms,38.427461,-82.700033,207.0,nan
Bozeman,Bozeman,45.662204,-111.045013,1507.0,nan
Braccagni,Braccagni,42.827746,11.079531,7.0,nan
Bragansa,Bragansa,-0.834,-46.641,55.0,nan
Brasilia,Brasilia,-15.917,-47.900002,1100.0,nan
BrasiliaSONDA,Brasilia Sonda,-15.60129,-47.71348,992.0,nan
BrattsLake,Bratts Lake,50.204238,-104.713013,586.7000122070312,nan
BrestMF,Brest Mf,48.444565,-4.411855,101.0,nan
Brisbane-UniofQLD,Brisbane-Uni Of Qld,-27.497083,153.013611,42.0,nan
BrnoAirport,Brno Airport,49.15647,16.68333,238.0,nan
Brookhaven,Brookhaven,40.866,-72.8847,37.0,nan
Brussels,Brussels,50.783332,4.35,120.0,nan
Bucarest,Bucarest,44.45,26.525,44.0,nan
BucharestInoe,Bucharest Inoe,44.348311,26.02805,89.0,nan
Buesum,Buesum,54.13225,8.878797,7.0,nan
Bujumbura,Bujumbura,-3.38,29.383833,863.0,nan
BukitKototabang,Bukit Kototabang,-0.20194,100.31805,864.5,nan
BureOPE,Bure Ope,48.5625,5.505,393.0,nan
Burjassot,Burjassot,39.507,-0.4202,104.0,nan
Burtonsville,Burtonsville,39.093714,-76.949881,140.0,nan
Bushland,Bushland,35.18678,-102.09384,1168.0,nan
CARTEL,Cartel,45.379754,-71.93133,251.0,nan
CARTSITE,Cart Site,36.60667,-97.48639,318.0,nan
CASLEO,Casleo,-31.798815,-69.295685,2485.0,nan
CATUCBamenda,Catuc Bamenda,5.9491,10.1563,1293.0,nan
CBBT,Cbbt,37.03665,-76.0766,20.0,nan
CCNY,Ccny,40.821313,-73.949036,100.0,nan
CEILAP-BA,Ceilap-Ba,-34.555425,-58.506411,26.0,nan
CEILAP-Bariloche,Ceilap-Bariloche,-41.146944,-71.163333,840.0,nan
CEILAP-Comodoro,Ceilap-Comodoro,-45.792153,-67.462875,49.0,nan
CEILAP-Neuquen,Ceilap-Neuquen,-38.95222,-68.13666,271.0,nan
CEILAP-RG,Ceilap-Rg,-51.600503,-69.31925,19.0,nan
CEILAP-UTN,Ceilap-Utn,-34.659722,-58.468611,27.0,nan
CENER,Cener,42.816424,-1.602187,471.0,nan
CLUJUBB,Cluj Ubb,46.768333,23.551389,405.0,nan
COVE,Cove,36.9,-75.71,37.0,nan
COVESEAPRISM,Cove Seaprism,36.9,-75.71,24.0,nan
CRPSMMalindi,Crpsm Malindi,-2.996,40.1945,12.0,nan
CUIABA-MIRANDA,Cuiaba-Miranda,-15.73091,-56.07086,210.0,nan
CUT-TEPAK,Cut-Tepak,34.674806,33.04275,22.0,nan
Cabauw,Cabauw,51.971,4.927,-0.699999988079071,nan
CaboRaso,Cabo Raso,38.70937,-9.48587,20.0,nan
CabodaRoca,Cabo Da Roca,38.781722,-9.497667,136.0,nan
Caceres,Caceres,39.478583,-6.343467,397.0,nan
CachoeiraPaulista,Cachoeira Paulista,-22.689,-45.006,574.0,nan
CaillouelCOBIACC,Caillouel Cobiacc,49.619914,3.12681,53.0,nan
CairoEMA,Cairo Ema,30.080767,31.290067,70.0,nan
CairoEMA2,Cairo Ema 2,30.080767,31.290067,70.0,nan
CairoUniversity,Cairo University,30.026167,31.207317,50.0,nan
CalTech,Caltech,34.13673,-118.126167,260.0,nan
CaldwellParishHS,Caldwell Parish Hs,32.060303,-92.096277,50.0,nan
CalernOCA,Calern Oca,43.752207,6.923153,1270.0,nan
