site_id,site_name,latitude,longitude,altitude,country,municipality,area_classification,station_type,timezone,established_date,closed_date,network,network_code
DEBE095,Berlin Tempelhofer Damm,52.46525,13.38544,45.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2007 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE096,Berlin Landsberger Allee,52.5232,13.43505,45.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2007 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE097,Berlin Herrmannplatz,52.48739,13.42471,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2007 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE098,Berlin Buschkrugallee,52.46328,13.44431,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2007 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE100,Berlin Friedrichstraße,52.5144,13.38912,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2007 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE101,Berlin Badstraße,52.55029,13.38493,50.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2007 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE102,Berlin Klosterstraße,52.53106,13.19658,35.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2007 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE103,Berlin Eichborndamm,52.57019,13.31268,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2008 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE104,Berlin Markgrafendamm,52.49838,13.46512,35.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2012 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE114,Berlin Elsenstraße,52.48945,13.45478,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2019 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE115,Berlin Erkstraße,52.48138,13.43916,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2019 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE121,Berlin Mehringdamm,52.49219,13.3871,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2020 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE122,Berlin Martin-Luther-Straße,52.49817,13.34585,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2020 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE125,Berlin Leipziger Straße (MC),52.50981,13.38238,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,26/03/2020 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE126,Berlin Karl-Marx-Straße II,52.48381,13.42967,40.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2023 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBE127,Berlin Silbersteinstraße 5,52.46747,13.44121,35.0,Germany,Berlin,urban-centre,traffic,UTC+01,01/01/2024 00:00:01,,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",NET.DE_BE
DEBW005,Mannheim-Nord,49.54408,8.46528,94.0,Germany,Mannheim,urban-periphery,industrial,UTC+01,01/01/2017 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW009,Heidelberg,49.41953,8.6767,112.0,Germany,Heidelberg,urban-centre,background,UTC+01,01/01/1984 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW010,Wiesloch,49.30073,8.7001,162.0,Germany,Wiesloch,urban-periphery,background,UTC+01,01/05/1986 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW013,Stuttgart-Bad Cannstatt,48.8088,9.22975,235.0,Germany,Stuttgart,urban-centre,background,UTC+01,01/01/2018 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW015,Heilbronn,49.16551,9.22479,157.0,Germany,Heilbronn,urban-centre,background,UTC+01,01/01/2007 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW022,Kehl,48.57818,7.80232,136.0,Germany,Kehl,urban-periphery,industrial,UTC+01,04/01/2018 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW023,Weil am Rhein,47.58815,7.63327,275.0,Germany,Weil am Rhein,urban-periphery,background,UTC+01,01/02/1982 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW027,Reutlingen,48.48889,9.20732,385.0,Germany,Reutlingen,urban-centre,background,UTC+01,01/02/1982 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW038,Friedrichshafen,47.66006,9.48568,404.0,Germany,Friedrichshafen,urban-centre,background,UTC+01,01/01/1987 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW039,Villingen-Schwenningen,48.04866,8.4636,700.0,Germany,Villingen-Schwenningen,urban-periphery,background,UTC+01,01/06/1987 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW046,Biberach,48.08989,9.80033,534.0,Germany,Biberach an der Riß,urban-periphery,background,UTC+01,01/11/1990 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW052,Konstanz,47.66436,9.16929,403.0,Germany,Konstanz,urban-centre,background,UTC+01,01/09/1990 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW056,Schwäbisch Hall,49.10788,9.73323,306.0,Germany,Schwäbisch Hall,urban-periphery,background,UTC+01,01/01/1991 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW059,Tauberbischofsheim,49.63484,9.65792,177.0,Germany,Tauberbischofsheim,urban-periphery,background,UTC+01,01/11/1990 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW073,Neuenburg,47.81902,7.56797,223.0,Germany,Neuenburg am Rhein,urban-periphery,background,UTC+01,01/11/1992 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW076,Baden-Baden,48.77307,8.22021,148.0,Germany,Baden-Baden,urban-periphery,background,UTC+01,22/04/1993 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW087,Schwäbische Alb,48.34578,9.20764,798.0,Germany,Sonnenbühl,rural-regional,background,UTC+01,01/01/2007 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW098,Mannheim Friedrichsring,49.49256,8.47204,101.0,Germany,Mannheim,urban-centre,traffic,UTC+01,28/04/1994 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW116,Stuttgart Hohenheimer Straße,48.76871,9.18449,302.0,Germany,Stuttgart,urban-centre,traffic,UTC+01,23/12/2003 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW118,Stuttgart Am Neckartor,48.7881,9.19101,239.0,Germany,Stuttgart,urban-centre,traffic,UTC+01,01/01/2004 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW128,Mühlacker Stuttgarter Straße,48.94667,8.84432,242.0,Germany,Mühlacker,urban-periphery,traffic,UTC+01,01/01/2006 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW136,Tübingen Mühlstraße,48.52023,9.05802,340.0,Germany,Tübingen,urban-centre,traffic,UTC+01,01/01/2010 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW193,Depo_Isny im Allgäu,47.72335,10.06543,699.0,Germany,Isny im Allgäu,rural,background,UTC+01,01/01/2018 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW241,Ludwigsburg Schlossstraße,48.8982,9.19373,285.0,Germany,Ludwigsburg,urban-centre,traffic,UTC+01,01/07/2021 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW243,Stuttgart Talstraße,48.78364,9.21177,252.0,Germany,Stuttgart,urban-centre,traffic,UTC+01,01/01/2020 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW245,Pforzheim Luisenstraße,48.89359,8.69527,274.0,Germany,Pforzheim,urban-centre,traffic,UTC+01,01/01/2021 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW246,Pforzheim St.-Georgen-Steige,48.88695,8.70564,267.0,Germany,Pforzheim,urban-centre,traffic,UTC+01,01/01/2021 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBW249,Stuttgart Hauptstätter Straße,48.76622,9.17094,258.0,Germany,Stuttgart,urban-centre,traffic,UTC+01,01/01/2024 00:00:01,,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",NET.DE_BW
DEBY004,Kleinwallstadt/Hofstetter Straße,49.86942,9.17154,124.0,Germany,Kleinwallstadt,urban-periphery,background,UTC+01,01/08/1987 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY005,Aschaffenburg/Bussardweg,49.99152,9.11797,134.0,Germany,Aschaffenburg,urban-periphery,background,UTC+01,01/08/1983 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY007,Augsburg/Bourges-Platz,48.37658,10.88837,477.0,Germany,Augsburg,urban-centre,background,UTC+01,01/08/1986 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY020,Hof/LfU,50.32061,11.89749,525.0,Germany,Hof,urban-periphery,background,UTC+01,01/06/1988 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY026,Vohburg a.d. Donau/Alter Wöhrer Weg,48.76711,11.63833,355.0,Germany,Vohburg a.d. Donau,urban-periphery,background,UTC+01,17/01/2012 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY030,Saal a.d. Donau/Regensburger Straße,48.90423,11.9488,340.0,Germany,Saal a.d. Donau,urban-periphery,background,UTC+01,17/01/2012 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY031,Kempten (Allgäu)/Westendstraße,47.72514,10.30656,678.0,Germany,Kempten (Allgäu),urban-periphery,background,UTC+01,01/08/1993 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY035,Lindau (Bodensee)/Friedrichshafener Straße,47.55747,9.68887,411.0,Germany,Lindau (Bodensee),urban-centre,traffic,UTC+01,01/01/1978 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY049,Neustadt a.d. Donau/Eining,48.85321,11.77782,359.0,Germany,Neustadt a.d. Donau,rural-regional,background,UTC+01,01/01/1994 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY058,Nürnberg/Muggenhof,49.46223,11.0248,300.0,Germany,Nürnberg,urban-centre,background,UTC+01,19/01/2012 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY072,Tiefenbach/Altenschneeberg,49.43846,12.54887,755.0,Germany,Tiefenbach,rural-regional,background,UTC+01,01/01/1988 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY079,Bad Reichenhall/Kirchholzstraße,47.73344,12.89124,469.0,Germany,Bad Reichenhall,urban-centre,background,UTC+01,24/04/2018 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY089,München/Johanneskirchen,48.17319,11.64804,513.0,Germany,München,urban-periphery,background,UTC+01,01/07/1993 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY093,Sulzbach-Rosenberg/Lohe,49.48798,11.78634,393.0,Germany,Sulzbach-Rosenberg,urban-periphery,background,UTC+01,17/01/2012 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY113,Erlangen/Kraepelinstraße,49.60591,10.96353,284.0,Germany,Erlangen,urban-periphery,background,UTC+01,01/04/2004 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY115,München/Landshuter Allee,48.14961,11.53651,521.0,Germany,München,urban-centre,traffic,UTC+01,01/01/2013 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY120,Nürnberg/Von-der-Tann-Straße,49.44048,11.0361,308.0,Germany,Nürnberg,urban-centre,traffic,UTC+01,01/01/2013 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY121,Oberaudorf/Inntal-Autobahn,47.64846,12.18832,469.0,Germany,Oberaudorf,unknown,traffic,UTC+01,01/01/2008 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY122,Bad Hindelang/Unterjoch,47.54108,10.43655,1056.0,Germany,Bad Hindelang,rural-regional,background,UTC+01,21/06/2010 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY124,Burgbernheim/Grüne Au,49.44406,10.325,362.0,Germany,Burgbernheim,rural-regional,background,UTC+01,01/01/2012 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY187,Oettingen/Goethestraße,48.95218,10.59772,417.0,Germany,Oettingen i. Bay.,urban-periphery,background,UTC+01,26/07/2012 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY188,Schwabach/Angerstraße,49.32273,11.02792,344.0,Germany,Schwabach,urban-centre,background,UTC+01,01/07/2012 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY189,München/Allach,48.18169,11.46445,510.0,Germany,München,urban-periphery,background,UTC+01,28/01/2014 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY196,Garmisch-Partenkirchen/Wasserwerk,47.47701,11.05735,732.0,Germany,Garmisch-Partenkirch,unknown,background,UTC+01,01/01/2016 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY198,Ingolstadt/Münchener Str.,48.74262,11.43464,367.0,Germany,Ingolstadt,urban-centre,traffic,UTC+01,01/01/2022 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY199,Neustadt a.d. Aisch/An der Weißen Marter,49.57846,10.62544,333.0,Germany,Neustadt a.d. Aisch,urban-centre,background,UTC+01,01/01/2022 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEBY200,Passau/Angerstr.,48.57663,13.46936,302.0,Germany,Passau,urban-centre,traffic,UTC+01,14/01/2021 00:00:01,,Bayerisches Landesamt für Umwelt,NET.DE_BY
DEHB001,Bremen-Mitte,53.07715,8.81578,10.0,Germany,Bremen,urban-centre,background,UTC+01,01/01/1987 00:00:01,,"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",NET.DE_HB
DEHB002,Bremen-Ost,53.06004,8.91697,7.0,Germany,Bremen,urban-centre,background,UTC+01,01/01/1987 00:00:01,,"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",NET.DE_HB
DEHB004,Bremen-Nord,53.18095,8.62546,20.0,Germany,Bremen,urban-centre,background,UTC+01,01/05/1989 00:00:01,,"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",NET.DE_HB
DEHB006,Bremen-Dobben,53.07866,8.82517,5.0,Germany,Bremen,urban-centre,traffic,UTC+01,01/05/1992 00:00:01,,"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",NET.DE_HB
DEHB012,Bremen-Oslebshausen,53.13172,8.73506,8.0,Germany,Bremen,urban-centre,background,UTC+01,01/05/2010 00:00:01,,"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",NET.DE_HB
DEHB013,Bremen-Hasenbüren,53.1177,8.69506,4.0,Germany,Bremen,rural-regional,industrial,UTC+01,01/08/2020 00:00:01,,"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",NET.DE_HB
DEHB014,Bremen-Nordstraße,53.09944,8.77556,5.0,Germany,,urban-centre,traffic,UTC+01,01/01/2024 00:00:01,,"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",NET.DE_HB
DEHE005,Frankfurt-Höchst,50.10175,8.54252,100.0,Germany,Frankfurt am Main,urban-centre,background,UTC+01,01/09/1979 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE008,Frankfurt Ost,50.12533,8.74634,103.0,Germany,Frankfurt am Main,urban-centre,background,UTC+01,01/03/1984 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE011,Hanau,50.13577,8.92157,105.0,Germany,Hanau,urban-centre,background,UTC+01,01/02/1977 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE013,Kassel Mitte,51.31425,9.4834,180.0,Germany,Kassel,urban-centre,background,UTC+01,01/01/1977 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE018,Raunheim,50.01032,8.45153,90.0,Germany,Raunheim,urban-centre,background,UTC+01,30/05/2012 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE020,Wetzlar,50.56718,8.50062,150.0,Germany,Wetzlar,urban-centre,background,UTC+01,03/02/2011 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE028,Fürth/Odenwald,49.65347,8.81725,480.0,Germany,Fürth,rural,background,UTC+01,01/10/1986 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE030,Marburg,50.80426,8.76932,180.0,Germany,Marburg,urban-centre,background,UTC+01,01/01/1988 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE032,Bebra,50.97002,9.80026,206.0,Germany,Bebra,urban-centre,background,UTC+01,01/01/1988 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE036,Frankfurt Höhenstraße,50.12398,8.70025,122.0,Germany,Frankfurt am Main,urban-centre,traffic,UTC+01,01/01/2025 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE037,Wiesbaden Ringkirche,50.07719,8.23032,135.0,Germany,Wiesbaden,urban-centre,traffic,UTC+01,01/03/1994 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE039,Burg Herzberg,50.77038,9.4594,490.0,Germany,Breitenbach a. Herzberg,rural,background,UTC+01,07/09/2010 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE043,Riedstadt,49.82517,8.5168,90.0,Germany,Riedstadt,unknown,background,UTC+01,01/04/1996 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE045,Michelstadt,49.67251,9.00198,207.0,Germany,Michelstadt,urban-centre,background,UTC+01,05/05/1999 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE049,Kassel Fünffensterstraße,51.31208,9.49112,172.0,Germany,Kassel,urban-centre,traffic,UTC+01,01/01/2025 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE051,Wasserkuppe,50.49771,9.93586,950.0,Germany,Gersfeld (Rhön),rural,background,UTC+01,22/11/2001 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE052,Kleiner Feldberg,50.22194,8.44608,824.0,Germany,Glashütten,rural,background,UTC+01,12/03/1992 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE059,Fulda Petersberger Straße,50.55003,9.68485,269.0,Germany,Fulda,urban-centre,traffic,UTC+01,03/02/2011 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE060,Kellerwald,51.15484,9.03175,462.0,Germany,Edertal,rural-regional,background,UTC+01,09/10/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE065,Frankfurt-Süd (5228),50.10436,8.67559,102.0,Germany,Frankfurt am Main,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE066,Frankfurt (5230),50.11198,8.67611,112.0,Germany,Frankfurt am Main,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE067,Frankfurt (5428),50.10423,8.6909,103.0,Germany,Frankfurt am Main,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE068,Frankfurt (5430),50.11126,8.69158,103.0,Germany,Frankfurt am Main,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE069,Frankfurt (3228),50.10421,8.53552,106.0,Germany,Frankfurt am Main,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE070,Frankfurt (3226),50.09455,8.5378,101.0,Germany,Frankfurt am Main,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE071,Frankfurt (3426),50.09539,8.55738,91.0,Germany,Frankfurt am Main,rural,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE072,Frankfurt (3428),50.10351,8.54862,105.0,Germany,Frankfurt am Main,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE073,Hanau (8632),50.1228,8.91673,105.0,Germany,Hanau,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE074,Hanau (8634),50.12178,8.95861,107.0,Germany,Hanau,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE075,Hanau (8832),50.12525,8.93115,106.0,Germany,Hanau,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE076,Hanau (8834),50.13013,8.92516,111.0,Germany,Hanau,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE077,Hanau (9230),50.11409,8.95164,108.0,Germany,Hanau,unknown,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE078,Hanau (9232),50.12111,8.96062,108.0,Germany,Hanau,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE079,Hanau (9430),50.11529,8.96728,118.0,Germany,Hanau,unknown,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE080,Hanau (9432),50.12245,8.97057,111.0,Germany,Hanau,unknown,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE081,Wetzlar (1820),50.57642,8.48171,153.0,Germany,Wetzlar,unknown,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE082,Wetzlar (1822),50.58415,8.52572,159.0,Germany,Wetzlar,unknown,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE083,Wetzlar (2020),50.5694,8.50672,153.0,Germany,Wetzlar,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE084,Wetzlar (2022),50.57693,8.50337,169.0,Germany,Wetzlar,unknown,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE085,Kassel (2222),51.30781,9.51573,138.0,Germany,Kassel,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE086,Kassel (2224),51.3166,9.51362,136.0,Germany,Kassel,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE087,Kassel (2422),51.30733,9.52958,140.0,Germany,Kassel,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE088,Kassel (2424),51.31442,9.52651,137.0,Germany,Kassel,unknown,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE089,Wiesbaden (2622),50.04823,8.24149,107.0,Germany,Wiesbaden,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE090,Wiesbaden (2624),50.05454,8.24458,133.0,Germany,Wiesbaden,urban-centre,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
DEHE091,Wiesbaden (2822),50.04837,8.25755,114.0,Germany,Wiesbaden,unknown,background,UTC+01,01/01/2005 00:00:01,,"Hessisches Landesamt für Naturschutz, Umwelt und Geologiee",NET.DE_HE
