site_id,site_name,latitude,longitude,altitude,state,county,city,land_use,location_setting,owning_agency,established_date,closed_date,address,zip_code,area_classification
021100004,Floyd Dryden Middle School,58.388497,-134.567237,15.0,Alaska,Juneau ,Juneau,RESIDENTIAL,SUBURBAN,Alaska Department Of Environmental Conservation,1980-01-01,,3800 MENDENHALL LOOP ROAD,99801.0,urban-periphery
021100027,021100027,58.365508,-134.516499,55.0,Alaska,Juneau ,Juneau,RESIDENTIAL,SUBURBAN,Alaska Department Of Environmental Conservation,2003-01-03,,4480 MOUNTAINSIDE DRIVE,,urban-periphery
021220008,"Kenai Peninsula Borough Building site, Soldotna",60.489167,-151.0693,34.0,Alaska,Kenai Peninsula ,Soldotna,RESIDENTIAL,SUBURBAN,Alaska Department Of Environmental Conservation,2011-10-20,,"144 N. Binkley St, Soldotna, AK 99669",99669.0,urban-periphery
021220009,021220009,59.982667,-152.661089,15.0,Alaska,Kenai Peninsula ,Not in a City,FOREST,RURAL,National Park Service,2001-01-01,,Tuxedni,,rural
021221000,021221000,59.459318,-151.698472,47.0,Alaska,Kenai Peninsula ,Seldovia Village,COMMERCIAL,RURAL,Seldovia Village Tribe,2012-06-12,,Equipment yard along Jakolof Bay Rd,99603.0,rural
021221001,021221001,59.469435,-151.656358,141.0,Alaska,Kenai Peninsula ,Seldovia Village,RESIDENTIAL,RURAL,Seldovia Village Tribe,2012-06-14,,Across from Barabara Heights Fire Department Conex along Jakolof Bay Road,99603.0,rural
021221006,021221006,59.462806,-151.687917,113.0,Alaska,Kenai Peninsula ,Seldovia Village,RESIDENTIAL,RURAL,Seldovia Village Tribe,2013-06-10,,1931 Jakolof Bay Rd,99603.0,rural
021221007,021221007,59.468101,-151.66185,148.0,Alaska,Kenai Peninsula ,Seldovia Village,RESIDENTIAL,RURAL,Seldovia Village Tribe,2013-06-10,,2631 Jakolof Bay Rd,99603.0,rural
021229000,Kenai Penisula Borough,60.012315,-151.711491,5.0,Alaska,Kenai Peninsula ,Happy Valley,FOREST,RURAL,University of California - Davis,2015-08-11,,Kenai Peninsula Borough (AK),99639.0,rural
021700004,021700004,61.532508,-150.252229,15.0,Alaska,Matanuska-Susitna ,Not in a city,UNKNOWN,UNKNOWN,Alaska Department Of Environmental Conservation,1985-05-01,,S BIG LAKE ROAD,,unknown
021700008,BUTTE,61.534163,-149.031655,30.0,Alaska,Matanuska-Susitna ,Not in a City,RESIDENTIAL,RURAL,Alaska Department Of Environmental Conservation,1998-04-11,,"HARRISON COURT,SITE LOCATED AT END OF CUL-DE-SAC",99645.0,rural
021700010,021700010,61.52275,-149.083639,30.0,Alaska,Matanuska-Susitna ,Not in a City,AGRICULTURAL,RURAL,Alaska Department Of Environmental Conservation,2023-10-26,,5310 Bodenburg Spur Rd,99645.0,rural
021700011,Trapper Creek,62.314754,-150.317909,155.0,Alaska,Matanuska-Susitna ,Trapper Creek,FOREST,RURAL,National Park Service,2001-09-13,,Trapper Creek,6.0,rural
021700013,Wasilla,61.598796,-149.455255,102.0,Alaska,Matanuska-Susitna ,Wasilla,COMMERCIAL,SUBURBAN,Alaska Department Of Environmental Conservation,2008-10-01,,100 WEST SWANSON AVENUE,99654.0,urban-periphery
021859000,Toolik Lake Field Station,68.637233,-149.590949,740.0,Alaska,North Slope ,Not in a City,FOREST,RURAL,US Department Of Interior (USGS-BLM),2018-11-09,,"1038 Toklat Way, Fairbanks, AK 99775-7005",7.0,rural
021880001,021880001,67.5701,-162.968,22.0,Alaska,Northwest Arctic ,Noatak,RESIDENTIAL,RURAL,Alaska Department Of Environmental Conservation,2010-01-13,,Government Airport Road,99750.0,rural
021889000,021889000,67.091949,-157.874821,67.0,Alaska,Northwest Arctic ,Ambler,FOREST,RURAL,National Park Service,2003-09-03,,Ambler,99749.0,rural
022320001,SKAGWAY TRIBAL SITE,59.45315,-135.32125,15.8,Alaska,Skagway-Hoonah-Angoon,Not in a city,COMMERCIAL,URBAN AND CENTER CITY,Alaska Department Of Environmental Conservation,2004-02-03,,"79 STATE ST., SKAGWAY",,urban-centre
022809000,022809000,56.61076,-132.81234,0.0,Alaska,Wrangell Petersburg,Not in a City,FOREST,RURAL,National Park Service,2004-01-01,,PETERSBURG IMPROVE SITE,99833.0,rural
022909000,Gates of the arctic,66.93093,-151.49188,205.0,Alaska,Yukon-Koyukuk ,Evansville,FOREST,RURAL,National Park Service,2008-10-20,,"Bettles Field, AK",99726.0,rural
040011003,White Mountain Fort Apache Reservation,34.07339,-109.85801,2230.0,Arizona,Apache,McNary,RESIDENTIAL,RURAL,"White Mountain Apache Tribe of Ft Apache Reservation, AZ",2009-01-01,,51 Nasco Avenue,85901.0,rural
040011234,FD,35.746005,-109.072386,0.0,Arizona,Apache,Fort Defiance,RESIDENTIAL,RURAL,"Navajo Nation, AZ, NM, UT",1999-01-01,,"ROUTE 12 NORTH, BUILDING F-004-051",86504.0,rural
040011235,Nazlini,35.880404,-109.438003,0.0,Arizona,Apache,Nazlini (Trading Post),RESIDENTIAL,RURAL,"Navajo Nation, AZ, NM, UT",1986-11-01,,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",86503.0,rural
040018001,Mount Baldy,34.058475,-109.441259,2509.0,Arizona,Apache,Not in a City,FOREST,RURAL,National Park Service,2000-01-01,,Mount Baldy,85925.0,rural
040030011,PAUL SPUR CHEMICAL LIME PLANT,31.3658,-109.73095,1278.0,Arizona,Cochise,Paul Spur,INDUSTRIAL,RURAL,Arizona Department Of Environmental Quality,1985-01-01,,"HOUSING AREA, PAUL SPUR",85607.0,rural
040031005,DOUGLAS RED CROSS,31.3492,-109.539683,1231.0,Arizona,Cochise,Douglas,RESIDENTIAL,URBAN AND CENTER CITY,Arizona Department Of Environmental Quality,1998-09-01,,1445-1449 15TH STREET,85607.0,urban-centre
040038001,Chiricahua NM,32.00941,-109.38906,1569.0,Arizona,Cochise,Not in a City,DESERT,RURAL,National Park Service,1988-01-01,,CHIRICAHUA NATIONAL MOUMENT,85643.0,rural
040039000,DOUGLASS IMPROVE SITE,31.349183,-109.539733,1233.0,Arizona,Cochise,Douglas,FOREST,RURAL,National Park Service,2004-01-01,,DOUGLASS IMPROVE SITE,85607.0,rural
040051008,FLAGSTAFF MIDDLE SCHOOL,35.206111,-111.652777,2120.0,Arizona,Coconino,Flagstaff,RESIDENTIAL,SUBURBAN,Arizona Department Of Environmental Quality,1996-10-29,,755 W BONITO,86001.0,urban-periphery
040051010,SEDONA POST OFFICE,34.866666,-111.765,1279.0,Arizona,Coconino,Sedona,COMMERCIAL,URBAN AND CENTER CITY,Arizona Department Of Environmental Quality,1990-01-01,,SR 89A & SR179 POST OFFICE,86336.0,urban-centre
040051011,Flagstaff High School,35.204452,-111.65109,2120.0,Arizona,Coconino,Flagstaff,RESIDENTIAL,SUBURBAN,Arizona Department Of Environmental Quality,2024-05-30,,"400 W. Elm Ave. Flagstaff, AZ 86001",86001.0,urban-periphery
