site_id,site_name,latitude,longitude,altitude,area_classification
FL99,Kennedy Space Center,28.5428,-80.644,2.0,rural
GA09,Okefenokee National Wildlife Refuge,30.7404,-82.1283,45.0,rural-remote
GA20,Bellville,32.0849,-81.9367,54.0,rural
GA23,Fort Frederica National Monument,31.2253,-81.3922,2.0,rural
GA33,Sapelo Island,31.3961,-81.2811,3.0,rural-remote
GA41,Georgia Station,33.1805,-84.4103,267.0,rural
GA50,Tifton Ars,31.4731,-83.5331,104.0,rural
GA98,Skidaway,31.9958,-81.0185,3.0,urban-suburban
GA99,Chula,31.5217,-83.5482,108.0,rural
HI00,Mauna Loa,19.5392,-155.5792,3399.0,rural-remote
HI99,Hawaii Volcanoes National Park-Thurston,19.4194,-155.2403,1195.0,rural-remote
IA08,Big Springs Fish Hatchery,42.9097,-91.47,229.0,rural-remote
IA23,Mcnay Research Center,40.9631,-93.3925,320.0,rural
ID02,Priest River Experimental Forest,48.3518,-116.8397,726.0,rural-remote
ID03,Craters Of The Moon National Monument,43.4605,-113.5551,1807.0,rural-remote
ID04,Headquarters,46.6278,-115.8194,969.0,rural-remote
ID11,Reynolds Creek,43.2049,-116.75,1200.0,rural-remote
ID15,Smiths Ferry,44.2978,-116.0636,1442.0,rural-remote
IL11,Bondville,40.0528,-88.3719,212.0,urban-suburban
IL18,Shabbona,41.8414,-88.8511,265.0,rural
IL19,Argonne,41.7011,-87.9953,229.0,urban
IL35,Southern Illinois University,37.71,-89.2689,146.0,rural
IL46,Alhambra,38.8689,-89.6219,164.0,rural
IL47,Salem,38.6433,-88.9669,173.0,rural
IL63,Dixon Springs Agricultural Center,37.4356,-88.6719,161.0,rural-remote
IL78,Monmouth,40.9153,-90.627,229.0,nan
IL99,Omega,38.71,-88.7492,153.0,rural-remote
IN20,Roush Lake,40.8401,-85.4639,244.0,rural
IN22,Southwest Purdue Agriculture Center,38.7408,-87.4855,134.0,rural
IN34,Indiana Dunes National Lakeshore,41.6318,-87.0881,208.0,urban-suburban
IN41,Agronomy Center For Research And Extension,40.4749,-86.9924,215.0,urban-suburban
KS07,Farlington Fish Hatchery,37.6511,-94.8036,281.0,rural-remote
KS31,Konza Prairie,39.1022,-96.6092,350.0,rural
KS32,Lake Scott State Park,38.6717,-100.9164,863.0,rural-remote
KS97,Kickapoo Tribe - Powhattan,39.7603,-95.6358,367.0,rural
KY03,Mackville,37.7047,-85.0489,293.0,rural
KY10,Mammoth Cave National Park-Houchin Meadow,37.1317,-86.148,236.0,rural
KY19,Cannons Lane,38.2288,-85.6545,177.0,urban
KY22,Lilley Cornett Woods,37.0778,-82.9936,335.0,rural
KY35,Clark State Fish Hatchery,38.1183,-83.5469,204.0,rural
KY38,Land Between The Lakes,36.7906,-88.0672,181.0,rural-remote
KY99,Mulberry Flat,36.9029,-88.0121,110.0,rural-remote
LA06,Hill Farm Research Station,32.7514,-93.0506,88.0,rural
LA12,Iberia Research Station,29.931,-91.7165,6.0,rural
LA30,Southeast Research Station,30.7819,-90.2021,77.0,rural
MA01,North Atlantic Coastal Lab,41.9759,-70.0241,57.0,rural
MA08,Quabbin Reservoir,42.3925,-72.3444,306.0,rural
MA13,East,42.3845,-71.2146,190.0,urban
MA14,Nantucket,41.2897,-70.1751,16.0,rural
MA22,Boston University,42.3501,-71.1044,32.0,urban
MA98,Arnold Arboretum,42.2953,-71.134,48.0,urban
MD03,White Rock Substation,39.4089,-76.9953,172.0,urban-suburban
MD07,Catoctin Mountain Park,39.647,-77.4848,471.0,rural
MD08,Piney Reservoir,39.7053,-79.0122,769.0,rural
MD13,Wye,38.9131,-76.1525,6.0,rural
MD15,Smith Island,37.9925,-76.0345,2.0,rural-remote
MD18,Assateague Island National Seashore-Woodcock,38.251,-75.1593,0.0,rural
MD99,Beltsville,39.028,-76.8171,46.0,urban
ME00,Caribou,46.8675,-68.0134,191.0,rural
ME02,Bridgton,44.1075,-70.7289,222.0,rural
ME04,Carrabassett Valley,45.0803,-70.2118,259.0,rural-remote
ME08,Gilead,44.4003,-71.0098,212.0,rural-remote
ME09,Greenville Station,45.4891,-69.6647,322.0,rural
ME94,Indian Township,45.2436,-67.6308,101.0,rural-remote
ME95,Wolapomomqot Ciw Wocuk,45.3406,-67.9876,182.0,rural-remote
ME96,Casco Bay-Wolfe'S Neck Farm,43.8325,-70.0645,15.0,rural
ME97,Presque Isle,46.6964,-68.0332,165.0,rural
ME98,Acadia National Park-Mcfarland Hill,44.3772,-68.2608,150.0,rural
ME99,Acadia National Park-Paradise Hill,44.4083,-68.2461,37.0,rural
MI09,Douglas Lake,45.5608,-84.6783,238.0,rural
MI22,Houghton,47.2269,-88.6308,193.0,rural
MI25,Isle Royale National Park-Windigo,47.9153,-89.1525,216.0,rural-remote
MI26,Kellogg Biological Station,42.4103,-85.3928,288.0,rural
MI29,Peshawbestown,45.0289,-85.6292,209.0,rural
MI48,Seney National Wildlife Refuge-Headquarters,46.2889,-85.9504,220.0,rural-remote
MI51,Unionville,43.6135,-83.3599,201.0,rural
MI52,Ann Arbor,42.4164,-83.9019,267.0,urban-suburban
MI53,Wellston,44.2242,-85.8186,292.0,rural-remote
MI94,Riverside,46.464,-84.303,307.0,nan
MI97,Isle Royale National Park-Wallace Lake,48.0575,-88.6342,201.0,rural-remote
MI98,Raco,46.3723,-84.7434,272.0,rural-remote
MI99,Chassell,47.1046,-88.5516,296.0,rural
MN01,Cedar Creek,45.4017,-93.2031,280.0,rural
MN05,Fond Du Lac,46.7131,-92.5108,390.0,rural
MN08,Hovland,47.8471,-89.965,224.0,rural-remote
MN16,Marcell Experimental Forest,47.5311,-93.4686,431.0,rural-remote
MN18,Fernberg,47.9464,-91.4961,524.0,rural-remote
MN23,Camp Ripley,46.2494,-94.4972,410.0,rural-remote
MN27,Lamberton,44.237,-95.3011,367.0,rural-remote
MN28,Grindstone Lake,46.1217,-93.0001,350.0,rural
MN32,Voyageurs National Park-Sullivan Bay,48.4132,-92.8305,421.0,rural-remote
MN99,Wolf Ridge,47.3841,-91.2067,361.0,rural-remote
MO03,Ashland Wildlife Area,38.754,-92.1994,257.0,rural
MO05,University Forest,36.9108,-90.3187,165.0,rural
MO43,Tyson Research Center,38.5185,-90.5652,174.0,urban-suburban
MO46,Mingo National Wildlife Refuge,36.9716,-90.1433,105.0,rural-remote
MO50,Baker Observatory,37.3986,-93.0425,415.0,rural
MS10,Clinton,32.3069,-90.3186,86.0,urban-suburban
MS12,Grand Bay Nerr,30.4294,-88.4277,2.0,rural
MS14,Meridian,32.3344,-88.745,89.0,rural
MS19,Newton,32.3269,-89.2086,134.0,rural
MS30,Coffeeville,34.0025,-89.7993,134.0,rural-remote
MS98,Chunky,32.3357,-88.9653,106.0,nan
MT00,Little Bighorn Battlefield National Monument,45.5701,-107.438,962.0,rural-remote
MT05,Glacier National Park-Fire Weather Station,48.5102,-113.997,964.0,rural-remote
MT07,Clancy,46.485,-112.0647,1448.0,rural
MT13,Give Out Morgan,48.4886,-105.2083,806.0,rural-remote
MT96,Poplar River,48.3149,-105.144,640.0,rural-remote
MT97,Lost Trail Pass,45.692,-113.968,2401.0,rural-remote
MT98,Havre - Northern Agricultural Research Center,48.5007,-109.798,819.0,rural
MT99,Glacier National Park-St Mary Ranger Station,48.7411,-113.43,1391.0,rural-remote
NC03,Lewiston,36.1325,-77.1708,22.0,rural-remote
NC06,Beaufort,34.8846,-76.6207,2.0,rural
NC11,Research Triangle Institute,35.9025,-78.87,99.0,urban
NC17,University Research Farm,36.0672,-79.7344,238.0,urban
NC25,Coweeta,35.0605,-83.4305,686.0,rural
NC29,Hofmann Forest,34.825,-77.3228,14.0,urban-suburban
NC30,Duke Forest,35.9709,-79.0933,174.0,urban-suburban
NC33,Research Triangle Park,35.8964,-78.8606,94.0,urban
NC34,Piedmont Research Station,35.697,-80.6225,219.0,rural
NC35,Clinton Crops Research Station,35.0258,-78.2783,41.0,rural
NC36,Jordan Creek,34.9705,-79.5281,132.0,rural
NC41,Finley Farm,35.7283,-78.6789,120.0,urban
NC45,Mt. Mitchell,35.7353,-82.2861,1987.0,rural
ND00,Theodore Roosevelt National Park-Painted Canyon,46.8951,-103.378,863.0,rural-remote
ND07,Theodore Roosevelt National Park-North Unit Headquarters,47.6014,-103.2642,611.0,rural-remote
ND08,Icelandic State Park,48.782,-97.7546,306.0,rural-remote
