variable,native_name,unit,coordinate_time,coordinate_lat,coordinate_lon,coordinate_lev,description
aerosol_optical_depth_368.6nm,aerosol_optical_depth_368.6nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_368nm,aerosol_optical_depth_368nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_380nm,aerosol_optical_depth_380nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_400nm,aerosol_optical_depth_400nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_411.4nm,aerosol_optical_depth_411.4nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_411.8nm,aerosol_optical_depth_411.8nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_412.2nm,aerosol_optical_depth_412.2nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_412.4nm,aerosol_optical_depth_412.4nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_412nm,aerosol_optical_depth_412nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_413nm,aerosol_optical_depth_413nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_414nm,aerosol_optical_depth_414nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_415nm,aerosol_optical_depth_415nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_496nm,aerosol_optical_depth_496nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_497nm,aerosol_optical_depth_497nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_499.7nm,aerosol_optical_depth_499.7nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_499nm,aerosol_optical_depth_499nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_500.5nm,aerosol_optical_depth_500.5nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_500.7nm,aerosol_optical_depth_500.7nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_500nm,aerosol_optical_depth_500nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_501.4nm,aerosol_optical_depth_501.4nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_610nm,aerosol_optical_depth_610nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_673nm,aerosol_optical_depth_673nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_675nm,aerosol_optical_depth_675nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_676nm,aerosol_optical_depth_676nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_778nm,aerosol_optical_depth_778nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_812nm,aerosol_optical_depth_812nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_861.6nm,aerosol_optical_depth_861.6nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_861.9nm,aerosol_optical_depth_861.9nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_862.2nm,aerosol_optical_depth_862.2nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_862.3nm,aerosol_optical_depth_862.3nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_862.4nm,aerosol_optical_depth_862.4nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_867nm,aerosol_optical_depth_867nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_868nm,aerosol_optical_depth_868nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_869nm,aerosol_optical_depth_869nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_870nm,aerosol_optical_depth_870nm,,time,latitude,longitude,unknown,
alpha-pinene_density,alpha-pinene_density,ug/m3,time,latitude,longitude,unknown,
alpha-pinene_mole_fraction,alpha-pinene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
ammonia_density,ammonia_density,ug/m3,time,latitude,longitude,unknown,
benzene_density,benzene_density,ug/m3,time,latitude,longitude,unknown,
benzene_mole_fraction,benzene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
carbon_dioxide_mole_fraction,carbon_dioxide_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
carbon_monoxide_mole_fraction,carbon_monoxide_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
carbon_tetrachloride_mole_fraction,carbon_tetrachloride_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
chloromethane_mole_fraction,chloromethane_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
dibromomethane_mole_fraction,dibromomethane_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
dichloromethane_mole_fraction,dichloromethane_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
dry_aerosol_number_concentration,dry_aerosol_number_concentration,1/cm3,time,latitude,longitude,unknown,
ethanal_density,ethanal_density,ug/m3,time,latitude,longitude,unknown,
ethanal_mole_fraction,ethanal_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
